,word,year,count,language,Rank
10213,agricole,1830,7130,french,4900.0
10212,agricole,1883,2990,italian,4995.0
3772,agriculture,1800,11500,french,921.0
3770,agriculture,1800,5650,english,1695.0
3771,agriculture,1805,394,italian,3913.0
9944,agrippa,1820,918,italian,4515.0
9945,agrippa,1881,10986,french,4799.0
7760,agrippina,1804,3970,english,3873.0
7761,agrippina,1820,950,italian,4365.0
2466,agro,1803,388,italian,4980.0
2465,agro,1978,26316,spanish,4794.0
2467,agro,1980,17845,french,4690.0
12476,ahmed,1820,1032,spanish,3572.0
12477,ahmed,1823,2178,italian,2089.0
13298,aid,1800,7350,english,1276.0
13299,aid,1953,6194,german,4217.0
7292,aids,1947,39660,english,4754.0
7293,aids,1998,16594,german,4927.0
9101,aiguille,1800,4074,french,2997.0
9100,aiguille,1800,250,italian,3224.0
12846,ail,1800,1800,english,4936.0
12847,ail,1803,8279,french,2138.0
9357,aile,1800,3148,french,3799.0
9356,aile,1801,309,german,4504.0
2145,air,1800,104253,french,20.0
2142,air,1800,35044,english,119.0
2143,air,1800,269,italian,2997.0
2144,air,1972,15770,german,4942.0
10811,aire,1802,3593,french,4266.0
10810,aire,1810,888,spanish,513.0
266,aires,1804,722,spanish,3526.0
267,aires,1910,3294,italian,4098.0
269,aires,1914,10207,french,4624.0
268,aires,1941,3252,german,4921.0
265,aires,1942,29467,english,4841.0
12613,aix,1802,3200,french,4694.0
12612,aix,1815,260,spanish,4633.0
5946,ala,1800,1018,spanish,3335.0
5947,ala,1809,980,italian,2038.0
13469,alas,1800,1814,spanish,1863.0
13468,alas,1800,1944,english,4655.0
7834,alaska,1886,22793,english,4218.0
7835,alaska,1945,6370,french,3709.0
8692,alb,1808,446,italian,4609.0
8693,alb,1894,5490,german,4961.0
2706,alba,1801,104,italian,3795.0
2705,alba,1804,768,spanish,3319.0
2707,alba,1924,6908,german,4341.0
10638,alberoni,1803,820,spanish,3677.0
10639,alberoni,1861,2276,italian,4612.0
4574,albert,1807,3686,english,4515.0
4576,albert,1809,3302,french,4646.0
4575,albert,1828,1512,german,3426.0
10587,alberto,1801,114,italian,3500.0
10586,alberto,1804,528,spanish,4772.0
2475,alcali,1800,322,italian,2450.0
2476,alcali,1800,2332,french,4952.0
2474,alcali,1804,556,spanish,4582.0
3201,alcohol,1803,4106,spanish,535.0
3202,alcohol,1803,3555,french,4761.0
3200,alcohol,1804,6532,english,2499.0
2610,alcool,1800,344,italian,2298.0
2611,alcool,1800,3504,french,3450.0
2609,alcool,1810,1360,spanish,259.0
7235,ale,1812,229,italian,4832.0
7234,ale,1820,8272,english,3756.0
10907,alembert,1802,3785,french,4070.0
10906,alembert,1807,1548,spanish,2937.0
12906,alexander,1800,7096,english,1334.0
12907,alexander,1800,280,german,3809.0
13210,alexandria,1800,2220,english,4164.0
13211,alexandria,1801,665,spanish,4087.0
10631,alfabeto,1802,380,italian,3464.0
10630,alfabeto,1803,852,spanish,3568.0
13512,alfo,1800,5358,english,1802.0
13513,alfo,1806,596,german,4219.0
2547,alfonso,1800,208,italian,3884.0
2546,alfonso,1804,1150,spanish,2176.0
2548,alfonso,1810,430,german,4100.0
4049,alfred,1800,3499,english,2839.0
4050,alfred,1845,3450,german,4464.0
4051,alfred,1875,12290,french,3885.0
8907,alfredo,1872,1964,italian,4880.0
8906,alfredo,1892,3524,spanish,3944.0
372,ali,1800,1153,italian,471.0
374,ali,1805,2932,french,4769.0
370,ali,1815,3993,english,4757.0
371,ali,1836,928,spanish,4998.0
373,ali,1838,4158,german,3104.0
12397,alia,1800,659,italian,1055.0
12396,alia,1811,184,spanish,4071.0
10876,alias,1808,438,spanish,3575.0
10877,alias,1808,424,italian,4855.0
8053,alien,1800,480,german,2259.0
8052,alien,1915,35673,english,4535.0
12503,aliis,1804,1367,italian,2911.0
12502,aliis,1818,550,spanish,4417.0
5212,alimento,1800,6142,spanish,354.0
5213,alimento,1800,234,italian,3434.0
10386,alinea,1861,3078,italian,3429.0
10387,alinea,1873,3336,german,4918.0
2902,alkali,1800,3675,french,3333.0
2900,alkali,1800,2485,english,3831.0
2901,alkali,1803,379,german,4260.0
13897,alliance,1800,7398,french,1612.0
13896,alliance,1800,5180,english,1879.0
7617,allocation,1906,17798,french,4308.0
7616,allocation,1967,99755,english,4932.0
12850,allusion,1800,1796,english,4939.0
12851,allusion,1846,12866,french,4243.0
5290,alma,1800,19942,spanish,34.0
5291,alma,1802,416,italian,3175.0
11380,almirante,1803,1170,spanish,2609.0
11381,almirante,1823,3594,italian,1140.0
11481,alpes,1800,4196,french,2902.0
11480,alpes,1801,566,spanish,4673.0
8587,alt,1800,956,german,1019.0
8586,alt,1806,476,italian,3593.0
6118,alta,1800,3380,spanish,859.0
6119,alta,1800,626,italian,1138.0
12449,altamente,1800,268,italian,2999.0
12448,altamente,1811,206,spanish,3680.0
1351,altar,1800,2552,spanish,1238.0
1350,altar,1800,3592,english,2773.0
1353,altar,1800,233,german,4507.0
1352,altar,1839,1417,italian,3892.0
9125,alte,1800,1680,german,459.0
9124,alte,1800,316,italian,2507.0
14139,alter,1800,1518,german,532.0
14138,alter,1800,3211,english,3089.0
5830,altera,1800,864,spanish,3907.0
5831,altera,1800,178,italian,4542.0
12366,alternativa,1810,158,spanish,3736.0
12367,alternativa,1943,3446,italian,4143.0
2018,alternative,1918,28349,english,4831.0
2020,alternative,1956,7198,german,4706.0
2019,alternative,1967,11804,italian,4982.0
2021,alternative,1975,15618,french,4967.0
7018,altitude,1809,3670,english,4635.0
7019,altitude,1873,8847,french,4722.0
5476,alto,1800,6538,spanish,317.0
5477,alto,1800,1138,italian,482.0
12497,altra,1800,7696,italian,5.0
12496,altra,1818,564,spanish,4321.0
12693,altre,1800,8906,italian,3.0
12692,altre,1818,816,spanish,2992.0
7773,alumine,1800,4027,french,3034.0
7772,alumine,1804,4991,english,3208.0
